"","X0_Animal25","X0_Animal26","X0_Animal27","X0_Animal28","X0_Animal51","X0_Animal52","X1_Animal25","X1_Animal26","X1_Animal27","X1_Animal28","X1_Animal51","X1_Animal52","X2_Animal25","X2_Animal26","X2_Animal27","X2_Animal28","X2_Animal51","X2_Animal52","X3_Animal25","X3_Animal26","X3_Animal27","X3_Animal28","X3_Animal51","X3_Animal52","X4_Animal25","X4_Animal26","X4_Animal27","X4_Animal28","X4_Animal51","X4_Animal52","X5_Animal25","X5_Animal26","X5_Animal27","X5_Animal28","X5_Animal51","X5_Animal52","X6_Animal25","X6_Animal26","X6_Animal27","X6_Animal28","X6_Animal51","X6_Animal52","X7_Animal25","X7_Animal26","X7_Animal27","X7_Animal28","X7_Animal51","X7_Animal52","X8_Animal25","X8_Animal26","X8_Animal27","X8_Animal28","X8_Animal51","X8_Animal52","X9_Animal25","X9_Animal26","X9_Animal27","X9_Animal28","X9_Animal51","X9_Animal52","X10_Animal25","X10_Animal26","X10_Animal27","X10_Animal28","X10_Animal51","X10_Animal52","X11_Animal25","X11_Animal26","X11_Animal27","X11_Animal28","X11_Animal51","X11_Animal52","X12_Animal25","X12_Animal26","X12_Animal28","X12_Animal51","X12_Animal52","X13_Animal25","X13_Animal26","X13_Animal27","X13_Animal28","X13_Animal51","X13_Animal52","X14_Animal25","X14_Animal26","X14_Animal27","X14_Animal28","X14_Animal51","X14_Animal52","X15_Animal25","X15_Animal26","X15_Animal27","X15_Animal28","X15_Animal51","X15_Animal52","X16_Animal25","X16_Animal26","X16_Animal27","X16_Animal28","X16_Animal51","X16_Animal52"
"MRPL23",1.42342050176568,1.45246908460191,1.52172676670348,1.02000157800204,0.98222179640514,0.951104303375171,0.968710278582822,1.00177741624976,1.51245784272738,1.05343309482687,1.12673290861366,1.02452112433422,0.745613447621451,0.590182914232533,1.04976380158916,0.812614761382656,0.792731438160336,0.529614738825617,0.768797243143316,1.02312685590772,1.17386944383799,0.806837681095521,0.822674299331729,0.632150087546235,1.37963538962197,1.66636362196554,1.76133523840602,1.69168265563392,0.88960270074068,1.27038464120083,1.24918018901125,1.32463340739208,1.53869635907726,1.48225340507589,1.48974892177138,0.870937645762736,1.43964224077913,1.55343924259945,1.82873654620113,1.4075215000372,1.6147136863576,1.24013838189426,1.10631580456688,0.509521713028766,2.5852163684163,1.16360217657282,1.02565470061364,0.971711423400466,1.27531296197843,1.27749201052534,2.68950682837773,1.6344706700562,1.34624171877331,1.42579416276711,1.06813010402832,1.09836477236664,1.99920894351524,1.16448273170026,1.53091633231865,1.28754516450867,1.16876741694859,0,0.407680704472257,1.03828251511617,0.829988905136947,0.902644247671134,0.964106914452925,1.33199841148519,1.6276986818583,1.25740268328044,0.942259356490635,0.813569305847172,1.04981883397514,0.576432261303874,0.970418147431139,0.727003478070564,0.839242974295022,0.73243418245621,0.275034105662583,0.995141548769793,0.831655477768666,1.25947908538889,0,1.32622079482977,1.59072002158943,1.76100790374745,1.49466258661027,0.71068143876782,0.437859264622246,0.88718567825645,0.363450323292042,1.70403724561896,1.04540210158367,0.764993673373944,0.971034500985937,1.18024921987449,1.22624156958921,1.94698937466977,0.448791586427419,1.25944584382872,1.34430601448893
"TSPAN4",2.06611117623031,0.872168796602716,1.78241029134473,1.20721310867189,1.44116217843261,1.41709596828976,2.40932649759156,1.97472125159771,2.60097918818989,1.82738687704387,2.18887663406066,2.31687572255702,2.15673504052535,2.11011309194981,2.60895168856389,1.57699430735227,2.87261217337952,2.72503753262322,2.62036018429564,1.71306441078868,2.06328926877696,1.56506203171116,2.01088384087941,2.17624069351345,0.534576956452415,0.127068312475796,1.17269067944245,0.15417985176844,0.356353788040767,1.43811781397189,0.729172980855433,0.853965577555328,1.87162198400636,0.954618658315601,1.79597106135208,1.53596973139032,0.220962901820715,0.166899713091822,0.433575228379983,0.173095114487316,0.511145823824041,0.925553550994022,1.60761871177637,1.04331647517187,0.604229607250755,0.410192874504246,1.87168054764373,1.61645780565073,1.30752681985008,1.00032850468868,1.65950218495726,0.552210210846378,1.70619792447795,1.30382932780983,0.5489839250397,0.421203452922028,0.786402470162344,0.907275266505054,0.627235328430228,1.68309638934884,1.95454192477382,2.11148648648649,3.18914543115865,0.889007782576408,1.61903248844963,1.68848926546069,2.10833592077105,1.56130189897991,2.58735296069802,1.74319148663016,1.51897775684359,2.27425977260964,2.06789037011297,3.00153952273947,1.45107038452927,2.93145569792213,2.54030941577699,0.317020572832903,0.148430260420739,0.444682228876877,0.26847722509655,1.45068833694038,1.30269359214129,1.94354552926888,1.15178801454047,1.73496025655682,0.988015201757917,2.09474631462064,1.29832125416046,1.50437302014669,0.401344488146753,2.88258998101098,0.949350420682292,3.04996585377566,0.81975527824952,0.167595536679639,0,0.113622229015052,0.303235201152004,0,0.423603168551701
"POLR2L",2.23586934661603,2.37118602776698,2.17405752724153,1.91542665052631,1.82617233558111,2.16589714874537,1.86512917238543,1.86741677426694,2.6497178440296,1.80345798998487,1.39804781213588,1.93960454138089,1.20681762488459,0.439529487630613,1.15798092278423,1.04948850321836,0.787336169385816,0.895057035803391,1.39609225237261,1.28109199730271,2.38533123605022,1.43673416926311,1.13244643641864,1.24248030844516,2.26879648006977,2.82476557206145,2.54585978166206,2.35705391344995,2.49758628236443,2.23793604814059,2.8946428841019,3.09819259596321,3.56710495439133,2.59189761471074,1.95401989934109,3.24388948527778,3.13636426667642,3.34827017046028,4.92550559561841,2.81805919289554,3.04157355676238,3.73625509040825,2.12119169618849,1.16658532229863,2.46424984429426,1.58319182351392,1.05342943957497,1.11384786995109,2.95192493965282,2.97640737352006,4.60422736701843,2.65931311779745,2.17912149023736,3.19540240619588,3.23316922505933,3.22464411466994,5.5946903798732,2.62091104177925,2.7238145211162,3.86468650669545,1.31522143876989,5.84840726376601,2.30129500112397,1.998578505734,1.7009921562029,1.87787875079586,2.1952561190602,2.51858182961822,2.47858546063268,1.72660615471403,1.71454557286384,1.94332913364915,1.96375945560122,1.52927300285639,1.69703112823557,0.79236174021782,1.33698918174493,0.560917497000884,0.638072301110344,0.749522472520255,0.633721936391149,0,1.76712613084845,2.88105823490743,3.37172932752782,4.34849064451254,3.18077580228985,0.857653308554911,4.01038456249276,2.47200988327299,1.74593755022371,3.01638127347492,1.46344232044077,0.0897907874652061,1.42040571227474,2.81054686462733,2.06674193869016,5.7752635283209,1.37879425558211,1.30718954248366,2.70923883403532
"RPLP2",32.6400864248543,40.3075565665407,49.631942762875,37.3286713217924,31.8073311923299,33.4569301008489,33.3032524416225,38.519198234388,54.4264432584619,36.2383560625664,28.0611441303048,33.7312663200525,21.712766783212,7.76209080744982,24.023153959246,18.7151600969271,13.524421277681,12.6289596655807,30.7800482168975,31.4724311337954,48.0164733340737,29.8920934250168,17.9519166216602,17.230454779423,38.9263412641015,42.4291927880514,62.1540373313957,43.5349594346712,39.7676693953396,37.4741551267995,38.1758290066806,38.0313953819284,54.1070408260271,35.7470032101841,29.377004211229,39.3574367407118,33.0080446187938,36.7760943427267,54.467769158134,35.6683333718126,32.184980349626,35.9413342054768,22.0176181883856,12.7771551543086,38.4249577622725,17.3768851007138,16.8438572414916,17.0739211947683,34.3910240190477,35.5764506014267,51.918466201897,38.5775710186382,29.9374238957471,36.2855365236553,23.2457471239847,24.7794427873534,42.2232200821534,24.7166479391083,25.592525286676,29.8255964080958,36.8733810348077,27.1305498323436,60.2012903615135,30.0645661401001,27.9380578248655,27.0759281063866,32.3353399169298,31.2885543653637,49.8909048515955,40.7316640935495,31.176719447219,33.1420628394442,30.6571097466458,24.9189164185988,28.7375451250696,12.178172623105,19.8695062905241,6.71934743860428,8.59433455801855,12.0041059102456,9.50645048054544,13.2537050567685,17.8328607159143,32.1613945352346,35.0337834232976,53.5501160910292,32.5287152592621,13.5291756317604,28.0222535674848,29.8309112845835,27.6321945266937,46.3611242246026,28.248986800789,25.7455976241955,24.0013119125388,22.4938998888054,11.3309593513101,45.6897551731694,15.4610422886186,6.44046031510841,29.1350921891087
"TALDO1",0.923651781137818,0.905595077761361,1.89286328881006,1.00963458539473,1.11917002538716,1.15944942405605,1.08684234922881,0.989843358975292,1.14626135758718,1.06090685526362,0.863921288491023,1.16428355159421,0.826926165950764,0.440680507713741,1.60321068520148,0.739257566045536,0.887877064716836,0.930477645147242,0.85542847137197,0.847943637116417,1.14810527973738,0.875859707527815,0.981321629753416,0.818127041103868,1.11302244589937,1.04436166241725,0.591221118290621,0.94378962890704,1.00871638138719,0.764554731752808,1.10503986384243,1.17844474395781,0.72328668738102,1.04106240252738,0.888344114667877,1.03596872692384,1.22285294411952,1.20529772044894,1.36025454187304,1.15921718252002,1.12300172674151,1.5695282379967,0.787334373422985,1.12650067133211,2.58965286927697,0.921266229817912,1.02145976262534,1.19600076428432,1.16478648288767,1.01926480169287,1.08616888726087,1.07662311165303,1.31858055038742,1.3644395456631,1.25780194809835,1.2139614241641,1.12296970014524,1.34415165006355,1.77131275147661,1.82441443372856,0.960348817481087,0,0.960430272762197,0.838357012638713,1.07956503450506,1.03732843996325,1.64022344964814,2.29130438079522,2.15300380129152,1.28894139907199,1.18474014959082,1.36761858555985,1.13490813184883,1.58755184333699,1.07997325264815,0.98101994988953,1.26387664009891,0.645369540964535,0.563765684695931,0.0724029077007733,0.319648597735901,0.590807042419946,2.5419156519726,1.36057286899415,1.62542265229077,1.16155083841916,1.27211667325993,1.23174068689407,1.59622264641289,1.80884454327924,3.66077439496143,2.27195224815726,1.68126671642243,0.736015723888301,1.71901567314704,1.36592833624557,0.735744941753525,1.76700003666589,0.604848159621355,1.30718954248366,1.61332151716395
"PPP6R3",0.261709494894165,0,0.0476896842162686,0.380914072509446,0.308136240405609,0.296872003341783,0.300791019950197,0.213129537507887,0.151672133605016,0.366185727945233,0.531306824841849,0.226617404258117,1.21159514034455,1.28998492576811,1.75463996226146,1.23179211120206,0.889111572570596,0.815719644832757,0.452616608962173,0.427719481800607,0.328184334355708,0.670947528970796,0.753491844081508,0.679697973714792,0.332247651613345,0.235327073452386,0.0868011128228422,0.443813719446552,1.01299300503407,0.208656762752729,0.40098712445577,0.361282887231444,0.271590005621139,0.475706962880745,0,0.181738330117209,0.304610784843581,0.196097908963391,0.115556243712938,0.45860967670976,0.2869575930086,0.119594678015608,0.773083908991764,0.80687609767948,0.37914691943128,1.17457961427516,0.77144433492615,0.657693602485089,0.271533273895851,0.26970087793233,0.189401268184863,0.415544788635957,0.443471295166657,0.173939718091421,0.282481320257185,0.442454207068553,0.276250052089899,0.456640114652455,0.202107561338082,0.211032794496265,0.151503673964094,3.73692077727952,0.590040122728346,0.430334871270256,0.586470934766983,0.392334558534786,0.454814113956924,0,0.147891802357395,0.421449646622595,0.31410186934106,0.200604732557193,0.365529765583903,1.46049936930853,0.56332935782134,0.835366757891805,0.511790189631022,3.80033705824996,3.07969628968087,3.76921935099157,3.20366736693229,0.812281699293315,2.0420719870156,0.319903272004184,0.191837556070626,0.412504596400759,0.363394502703641,1.55985667656403,0.196232339089482,0.444451634529502,0,0.116620409682365,0.2602562966126,0.37642098923436,0.477281405116457,0.180097708005465,0,0.0845639085988663,0.685368429507036,0,0.208268249505363
"EHD1",0.729625502105356,0.322687639766427,0.518730264765138,1.21664570181007,1.64665992921734,2.19491623266656,0.763175684024303,0.527541213615115,0.699298254962222,1.26808032843372,2.02724331581506,2.8991857160086,0.963276221964746,0.498602443755825,0.93083636068448,1.59721881628803,2.69528576230133,3.98056870016218,0.867552760444374,0.654695217712547,0.933539231627816,1.44733339628985,2.15743160569296,3.13616961741994,0.398966018908077,0.211419141664871,0.782904463503426,0.360762628091333,1.28240211968315,2.68716305755093,0.705547531230384,0.369146250946453,0.623045116234274,1.53302935819176,3.90721263327388,2.18103965297926,0.52221271762305,0.321734797798507,0.313704444284266,0.511496429601753,1.66217017889356,1.59547087255489,0.752180692760095,0.802520502793934,0.131969646981194,0.995346109186988,2.56429256922252,3.03604258902061,0.646796695670466,0.555478097587036,0.653094996586132,1.21239802080071,2.01651296656159,2.38731569377221,0.616539080957605,0.742738230588446,0.208378109130368,1.47424841176868,1.41574848717,1.25970934494367,0.611114755607333,0,0.286352442586335,1.26757947671517,1.80503988489386,2.95774928626791,0.778152628116589,0,0.970617571368384,1.41612606704735,1.72905810596532,2.82479274863125,0.756762927903841,0.695721720904588,1.47909246056365,2.97428776042829,3.49792161806552,0.497503663576021,0.361326195812552,0.514742124837568,0.45349239969433,2.29654727058195,1.63746356071355,0.463874824492432,0.942237662975892,0.40737533918412,1.49663898155448,0.310300095683608,2.58057000181737,0.535822091279778,0.237304224015187,0.695927098857078,1.16826302773406,2.14600778090457,2.60585172825219,0.313413727923283,0,0.109472534110458,0.0722466062005294,0,0
"RASGRP2",1.5934911790046,1.0660233575252,0.876286032175695,1.39263439846437,1.36526684464998,1.06234681890409,1.36528144321827,0.970088879498463,1.040839348175,1.35818315130008,1.49566886188923,1.40086876401542,1.09627654486542,1.12361441615236,1.88375499805096,1.25992666055485,1.39440138100735,1.53073105212976,1.27107548025339,0.949106861546048,1.44437598224284,1.41077693956487,1.39405696671517,1.2135616098097,1.88394215316572,1.40932571565954,0.917632584611988,1.95092574794364,2.13560000369742,1.68984955319285,1.29096917840373,0.801681891058353,0.578208772620886,1.02024858610923,1.20093917965047,1.06280529862857,1.88355514189101,1.33404784660409,1.41855174471232,2.22244483210555,2.10445603714878,1.36307736598277,1.25504502027267,1.22548342677526,0.739371534195933,1.8950505689187,1.35824493404809,1.27182527430453,1.57782228068968,0.981574604989999,0.966141829818517,1.89407211678677,1.7567637305257,1.59431578868937,3.1914171924468,2.39059255977109,3.1754857986402,3.59534015894474,5.79199617779124,3.78825727458926,1.62643353534152,0,0.981932443047918,2.02658095461069,1.78091373361952,1.05369048089901,1.61835900217992,1.50965423782863,1.28516806661043,1.61686862062793,1.57665494586974,1.37628316254449,1.34340965941844,1.15775237464244,1.56934907799212,1.4423074262981,1.26055082074695,1.11055143683606,1.8396795832975,0.0583730269916877,1.38886501062327,1.17977180591558,1.32637868626287,1.54067665289461,1.1867264528025,1.35624033165201,1.50862411008819,1.93508505458911,0.859349267765298,1.72895130766433,1.0525128103205,0.760168552450632,1.17778741286983,1.30329526916613,2.6836483254385,0.117831700202646,0,0.198272694516609,0.708999685884198,0,0.402576489533011
"PYGM",0,0,0,0.0484605380356677,0.00727790470758773,0,0.00683860136224025,0.00944856059325282,0,0.0210791631871457,0.00533742108622924,0.00200415782582546,0.00743359016387349,0,0,0.0252436496420824,0.00994808786509558,0.0114816942544859,0.00705096950477599,0,0,0.0132064163644558,0.0178381305636226,0.00129556200054465,0,0,0,0.0175561867677843,0,0,0.0110601117071282,0.0187482002490871,0,0.0161829194840675,0,0,0,0.0176020442516787,0.0800843645757328,0.0263523802926446,0,0,0.0231785162968148,0,0,0.0583073780342876,0.0147572171114855,0.0116909839132061,0.020885318568864,0.0529870349033937,0,0.146963214591593,0.016552564323265,0.00666769736595486,1.55236661137945,1.09764976025921,1.80242119598718,1.89944374284135,1.36238803542299,2.1398992750904,0.0930977340011544,0,1.02197240674502,0,0,0,0.0289447329269493,0,0,0,0.00629421291182248,0,0.0171061814897431,0,0.121184994061594,0.0060659862058444,0,0.109848415829256,0.0259441733278332,0.402797824388897,0.0736947291282959,0,0,0,0.0481313021923808,0.0175267633676624,0.0115781746776057,0,0,0.162636886045755,0.283848992336077,0.0396573604060914,0.0242662492871789,0,0,0,0,0,0,0,0
"SF1",0.746865808008998,0.994372601803454,0.533583104943382,1.27194921399482,1.52274098152216,1.395731946707,1.28253056006258,0.716525585779092,0.810097242404866,1.34249443071714,1.75052653725356,1.55495580422924,1.91359231387869,1.58159701136856,1.22412243513419,2.22407873055119,3.15394407052332,3.3112616281174,1.47919240886933,0.983825124401583,1.17585138169541,1.80596727439939,2.91538723573881,3.43913188626887,1.25932159025111,0.833160243956848,0.816256277513829,1.75938564085507,0.871340529143885,1.58928670659869,0.978325908539417,0.815320183443567,0.789358056120892,1.94341387754991,1.27218902235443,2.35500624587464,1.42526248332218,0.887372777279158,1.04769912523366,1.65065013084869,1.92642553648075,1.42232852702144,1.89312586916838,1.61883937662658,0.22271714922049,2.4211871534064,3.10800135416466,3.5530086014385,1.21761617628496,0.672699407703914,1.01671811621062,1.67441838063544,1.9801825371817,1.86223738984097,1.90836762893894,1.00077300582875,0.923671027576982,2.01087474393967,1.25787851594308,1.21680465331231,1.36514421546601,0,1.74290062307979,1.86686645130386,2.16457524447954,2.50044251654003,1.15755910356545,0.412031314379893,0.365532002080245,1.10216636786935,1.54618289737968,1.25988100805918,1.75663241495668,0.618155213419195,2.03196489335955,3.3279289552315,2.78437696464342,1.92290339993618,1.03877786555018,2.5811770614423,2.49193763289814,4.46712405888176,3.80661945949834,1.2035085476758,0.645936554582015,1.12259437761217,1.38410703371625,2.63724232560307,1.89391155151107,0.912173715487682,0,0.932931663312456,1.21656199787859,1.023971553843,1.11093186077656,1.01471678929121,0.490496627835684,0.55468714960993,0.65396446995835,0,2.24769249085549
