method,animal,dims,resolution,cluster,cell_count,silhouette_score,is_small_cluster,average_silhouette_score,cumulative_variance,n_DEGs
SCT,animal25,10,0.25,C0,2579,NA,FALSE,0.249927019483497,0.743573718858599,1054
SCT,animal25,10,0.25,C1,2414,0.403410975301604,FALSE,0.249927019483497,0.743573718858599,373
SCT,animal25,10,0.25,C2,992,0.23891792951804,FALSE,0.249927019483497,0.743573718858599,14
SCT,animal25,10,0.25,C3,642,0.102674997107014,FALSE,0.249927019483497,0.743573718858599,1045
SCT,animal25,10,0.25,C4,637,0.249217324583263,FALSE,0.249927019483497,0.743573718858599,988
SCT,animal25,10,0.25,C5,573,0.261761841644554,FALSE,0.249927019483497,0.743573718858599,940
SCT,animal25,10,0.25,C6,454,0.128936271732135,FALSE,0.249927019483497,0.743573718858599,1780
SCT,animal25,10,0.25,C7,148,-0.00790252464700437,FALSE,0.249927019483497,0.743573718858599,367
SCT,animal25,10,0.25,C8,78,0.0638261863507979,TRUE,0.249927019483497,0.743573718858599,1809
SCT,animal26,10,0.25,C0,889,NA,FALSE,0.225543709634285,0.733626732914545,1487
SCT,animal26,10,0.25,C1,791,0.274416969260234,FALSE,0.225543709634285,0.733626732914545,686
SCT,animal26,10,0.25,C2,621,0.101129034488828,FALSE,0.225543709634285,0.733626732914545,913
SCT,animal26,10,0.25,C3,597,0.265050136405654,FALSE,0.225543709634285,0.733626732914545,167
SCT,animal26,10,0.25,C4,544,0.0225323867101075,FALSE,0.225543709634285,0.733626732914545,2106
SCT,animal26,10,0.25,C5,396,0.360855558725207,FALSE,0.225543709634285,0.733626732914545,901
SCT,animal26,10,0.25,C6,383,0.279369324365885,FALSE,0.225543709634285,0.733626732914545,745
SCT,animal26,10,0.25,C7,14,0.362345579347231,TRUE,0.225543709634285,0.733626732914545,261
SCT,animal27,10,0.25,C0,2208,NA,FALSE,0.230022267747898,0.681046775746021,6
SCT,animal27,10,0.25,C1,1642,0.45222878125044,FALSE,0.230022267747898,0.681046775746021,1146
SCT,animal27,10,0.25,C2,1285,0.206538468985223,FALSE,0.230022267747898,0.681046775746021,223
SCT,animal27,10,0.25,C3,337,-0.095132900920785,FALSE,0.230022267747898,0.681046775746021,423
SCT,animal27,10,0.25,C4,158,0.134334067573851,FALSE,0.230022267747898,0.681046775746021,148
SCT,animal27,10,0.25,C5,152,0.132712962452865,FALSE,0.230022267747898,0.681046775746021,276
SCT,animal27,10,0.25,C6,76,0.391709823817041,TRUE,0.230022267747898,0.681046775746021,714
SCT,animal27,10,0.25,C7,29,-0.0279591462470072,TRUE,0.230022267747898,0.681046775746021,145
SCT,animal28,10,0.25,C0,5750,NA,FALSE,0.185956143309336,0.787978246691232,1191
SCT,animal28,10,0.25,C1,3176,0.173331173596157,FALSE,0.185956143309336,0.787978246691232,301
