"method","animal","dims","resolution","cluster","cell_count","silhouette_score","is_small_cluster","average_silhouette_score"
"SCT","merged",15,0.5,4,3163,0.06672561107285,FALSE,0.14812416079195
"SCT","merged",15,0.5,5,3107,0.0934821462546318,FALSE,0.14812416079195
"SCT","merged",15,0.5,6,2491,0.254616889501514,FALSE,0.14812416079195
"SCT","merged",15,0.5,7,2443,0.0831489899302024,FALSE,0.14812416079195
"SCT","merged",15,0.5,8,2435,-0.106790225699225,FALSE,0.14812416079195
"SCT","merged",15,0.5,9,2275,0.140299467950079,FALSE,0.14812416079195
"SCT","merged",15,0.5,10,1295,0.225670553155036,FALSE,0.14812416079195
"SCT","merged",15,0.5,11,649,0.408691621978686,FALSE,0.14812416079195
"SCT","merged",15,0.5,12,238,0.116259872722411,FALSE,0.14812416079195
"SCT","merged",15,0.5,13,225,0.150300543025402,FALSE,0.14812416079195
"SCT","merged",15,0.75,0,5030,NA,FALSE,0.155575557424759
"SCT","merged",15,0.75,1,4008,0.170225335039584,FALSE,0.155575557424759
"SCT","merged",15,0.75,2,3966,0.375599677457275,FALSE,0.155575557424759
"SCT","merged",15,0.75,3,3256,0.142316093653719,FALSE,0.155575557424759
"SCT","merged",15,0.75,4,3088,0.0704718222998385,FALSE,0.155575557424759
"SCT","merged",15,0.75,5,2958,0.263187772655693,FALSE,0.155575557424759
"SCT","merged",15,0.75,6,2739,0.00251338771985311,FALSE,0.155575557424759
"SCT","merged",15,0.75,7,2290,0.0676731858376159,FALSE,0.155575557424759
"SCT","merged",15,0.75,8,2198,0.0890125057836776,FALSE,0.155575557424759
"SCT","merged",15,0.75,9,1833,0.215557362877017,FALSE,0.155575557424759
"SCT","merged",15,0.75,10,1596,0.0723173680211306,FALSE,0.155575557424759
"SCT","merged",15,0.75,11,1355,0.138278290945068,FALSE,0.155575557424759
"SCT","merged",15,0.75,12,1293,0.0450957565132795,FALSE,0.155575557424759
"SCT","merged",15,0.75,13,1243,0.366110233840771,FALSE,0.155575557424759
"SCT","merged",15,0.75,14,464,-0.112347877584981,FALSE,0.155575557424759
"SCT","merged",15,0.75,15,238,0.311214034467712,FALSE,0.155575557424759
"SCT","merged",15,0.75,16,225,0.14760722999294,FALSE,0.155575557424759
"SCT","merged",15,0.75,17,136,0.427827359016849,FALSE,0.155575557424759
"SCT","merged",20,0.25,0,12743,NA,FALSE,0.145596487314991
"SCT","merged",20,0.25,1,5572,0.0892365498760452,FALSE,0.145596487314991
"SCT","merged",20,0.25,2,4118,0.188808837861992,FALSE,0.145596487314991
"SCT","merged",20,0.25,3,3839,0.0209410440222642,FALSE,0.145596487314991
"SCT","merged",20,0.25,4,3489,0.17281307096911,FALSE,0.145596487314991
"SCT","merged",20,0.25,5,2991,0.0810734552130678,FALSE,0.145596487314991
"SCT","merged",20,0.25,6,1684,0.26046396867758,FALSE,0.145596487314991
"SCT","merged",20,0.25,7,1273,0.221787700740737,FALSE,0.145596487314991
"SCT","merged",20,0.25,8,659,0.408650018207217,FALSE,0.145596487314991
"SCT","merged",20,0.25,9,567,0.269782459428122,FALSE,0.145596487314991
"SCT","merged",20,0.25,10,564,0.375621826586263,FALSE,0.145596487314991
"SCT","merged",20,0.25,11,233,0.145200688346262,FALSE,0.145596487314991
"SCT","merged",20,0.25,12,184,0.168510122093933,FALSE,0.145596487314991
"SCT","merged",20,0.3,0,9411,NA,FALSE,0.159237715417209
"SCT","merged",20,0.3,1,3881,0.138390318501202,FALSE,0.159237715417209
"SCT","merged",20,0.3,2,3827,0.356421505162556,FALSE,0.159237715417209
"SCT","merged",20,0.3,3,3060,0.158563434645948,FALSE,0.159237715417209
"SCT","merged",20,0.3,4,2942,0.236634728717887,FALSE,0.159237715417209
"SCT","merged",20,0.3,5,2883,0.0330941872465991,FALSE,0.159237715417209
"SCT","merged",20,0.3,6,2610,0.0807935888460743,FALSE,0.159237715417209
"SCT","merged",20,0.3,7,2304,0.106652423845288,FALSE,0.159237715417209
"SCT","merged",20,0.3,8,2262,0.0943506477772215,FALSE,0.159237715417209
"SCT","merged",20,0.3,9,2074,0.159808581061991,FALSE,0.159237715417209
"SCT","merged",20,0.3,10,1273,-0.055221295318127,FALSE,0.159237715417209
"SCT","merged",20,0.3,11,569,0.408697109985216,FALSE,0.159237715417209
"SCT","merged",20,0.3,12,402,0.365426061327466,FALSE,0.159237715417209
"SCT","merged",20,0.3,13,234,0.171423467183789,FALSE,0.159237715417209
"SCT","merged",20,0.3,14,184,0.157797184665144,FALSE,0.159237715417209
"SCT","merged",20,0.5,0,7857,NA,FALSE,0.154380121313271
"SCT","merged",20,0.5,1,3849,0.135591307162444,FALSE,0.154380121313271
"SCT","merged",20,0.5,2,3832,0.354998507156925,FALSE,0.154380121313271
"SCT","merged",20,0.5,3,3510,0.161121395810398,FALSE,0.154380121313271
"SCT","merged",20,0.5,4,2991,0.0455610498359785,FALSE,0.154380121313271
"SCT","merged",20,0.5,5,2912,0.265811382050593,FALSE,0.154380121313271
"SCT","merged",20,0.5,6,2858,0.0572159525488997,FALSE,0.154380121313271
"SCT","merged",20,0.5,7,2318,0.0437251369589706,FALSE,0.154380121313271
"SCT","merged",20,0.5,8,2295,0.166009050497653,FALSE,0.154380121313271
"SCT","merged",20,0.5,9,2190,0.0948779939805412,FALSE,0.154380121313271
