"method","animal","dims","resolution","cluster","cell_count","is_small_cluster","average_silhouette_score","cumulative_variance","silhouette_score","n_DEGs"
"SCT","merged",10,0.25,"0",13275,FALSE,0.23496778337239,0.762711364651918,NA,478
"SCT","merged",10,0.25,"1",7003,FALSE,0.23496778337239,0.762711364651918,0.274283345908558,207
"SCT","merged",10,0.25,"2",5124,FALSE,0.23496778337239,0.762711364651918,0.267533104493664,692
"SCT","merged",10,0.25,"3",3774,FALSE,0.23496778337239,0.762711364651918,0.0513487623586829,434
"SCT","merged",10,0.25,"4",3414,FALSE,0.23496778337239,0.762711364651918,0.228850196634051,1228
"SCT","merged",10,0.25,"5",3081,FALSE,0.23496778337239,0.762711364651918,0.176120893330374,1409
"SCT","merged",10,0.25,"6",1300,FALSE,0.23496778337239,0.762711364651918,0.312542973904378,492
"SCT","merged",10,0.25,"7",523,FALSE,0.23496778337239,0.762711364651918,0.455130436199139,599
"SCT","merged",10,0.25,"8",422,FALSE,0.23496778337239,0.762711364651918,0.312730881992738,243
"SCT","merged",10,0.3,"0",11718,FALSE,0.228403186850224,0.762711364651918,NA,NA
"SCT","merged",10,0.3,"1",6859,FALSE,0.228403186850224,0.762711364651918,0.328947687965343,NA
"SCT","merged",10,0.3,"2",5318,FALSE,0.228403186850224,0.762711364651918,0.271916267285506,NA
"SCT","merged",10,0.3,"3",3847,FALSE,0.228403186850224,0.762711364651918,0.0385187357628288,NA
"SCT","merged",10,0.3,"4",3157,FALSE,0.228403186850224,0.762711364651918,0.215411637304717,NA
"SCT","merged",10,0.3,"5",2389,FALSE,0.228403186850224,0.762711364651918,0.280811916031684,NA
"SCT","merged",10,0.3,"6",2322,FALSE,0.228403186850224,0.762711364651918,-0.0517220418233498,NA
"SCT","merged",10,0.3,"7",1295,FALSE,0.228403186850224,0.762711364651918,0.199515223922994,NA
"SCT","merged",10,0.3,"8",592,FALSE,0.228403186850224,0.762711364651918,0.458487279050394,NA
"SCT","merged",10,0.3,"9",419,FALSE,0.228403186850224,0.762711364651918,0.233489671714231,NA
"SCT","merged",10,0.5,"0",6118,FALSE,0.172012558259589,0.762711364651918,NA,564
"SCT","merged",10,0.5,"1",6048,FALSE,0.172012558259589,0.762711364651918,0.109430703905454,358
"SCT","merged",10,0.5,"2",4951,FALSE,0.172012558259589,0.762711364651918,0.239307842608304,356
"SCT","merged",10,0.5,"3",3774,FALSE,0.172012558259589,0.762711364651918,0.258357123858472,440
"SCT","merged",10,0.5,"4",3161,FALSE,0.172012558259589,0.762711364651918,0.129221192725101,1380
