"animal","dims","resolution","cluster","cell_count"
"animal28",15,0.5,5,1522
"animal28",15,0.5,6,1234
"animal28",15,0.5,7,1197
"animal28",15,0.5,8,768
"animal28",15,0.5,9,470
"animal28",15,0.5,10,438
"animal28",15,0.5,11,321
"animal25",15,0.75,0,1476
"animal25",15,0.75,1,1404
"animal25",15,0.75,2,870
"animal25",15,0.75,3,652
"animal25",15,0.75,4,638
"animal25",15,0.75,5,635
"animal25",15,0.75,6,607
"animal25",15,0.75,7,571
"animal25",15,0.75,8,318
"animal25",15,0.75,9,303
"animal25",15,0.75,10,271
"animal25",15,0.75,11,262
"animal25",15,0.75,12,205
"animal25",15,0.75,13,191
"animal25",15,0.75,14,47
"animal25",15,0.75,15,42
"animal25",15,0.75,16,25
"animal26",15,0.75,0,607
"animal26",15,0.75,1,524
"animal26",15,0.75,2,502
"animal26",15,0.75,3,470
"animal26",15,0.75,4,424
"animal26",15,0.75,5,391
"animal26",15,0.75,6,301
"animal26",15,0.75,7,286
"animal26",15,0.75,8,225
"animal26",15,0.75,9,213
"animal26",15,0.75,10,206
"animal26",15,0.75,11,86
"animal27",15,0.75,0,1586
"animal27",15,0.75,1,1084
"animal27",15,0.75,2,426
"animal27",15,0.75,3,412
"animal27",15,0.75,4,358
"animal27",15,0.75,5,348
"animal27",15,0.75,6,337
"animal27",15,0.75,7,316
"animal27",15,0.75,8,258
"animal27",15,0.75,9,249
"animal27",15,0.75,10,152
"animal27",15,0.75,11,144
"animal27",15,0.75,12,116
"animal27",15,0.75,13,72
"animal27",15,0.75,14,29
"animal28",15,0.75,0,2512
"animal28",15,0.75,1,2329
"animal28",15,0.75,2,1857
"animal28",15,0.75,3,1778
"animal28",15,0.75,4,1567
"animal28",15,0.75,5,1525
"animal28",15,0.75,6,1419
"animal28",15,0.75,7,1226
"animal28",15,0.75,8,1197
"animal28",15,0.75,9,1107
"animal28",15,0.75,10,780
"animal28",15,0.75,11,743
"animal28",15,0.75,12,470
"animal28",15,0.75,13,445
"animal28",15,0.75,14,322
"animal25",20,0.25,0,2301
"animal25",20,0.25,1,2056
"animal25",20,0.25,2,894
"animal25",20,0.25,3,677
"animal25",20,0.25,4,633
"animal25",20,0.25,5,629
"animal25",20,0.25,6,571
"animal25",20,0.25,7,262
"animal25",20,0.25,8,213
"animal25",20,0.25,9,107
"animal25",20,0.25,10,60
"animal25",20,0.25,11,49
"animal25",20,0.25,12,42
"animal25",20,0.25,13,23
"animal26",20,0.25,0,898
"animal26",20,0.25,1,609
"animal26",20,0.25,2,593
"animal26",20,0.25,3,523
"animal26",20,0.25,4,510
"animal26",20,0.25,5,439
"animal26",20,0.25,6,393
"animal26",20,0.25,7,203
"animal26",20,0.25,8,67
"animal27",20,0.25,0,2325
"animal27",20,0.25,1,1555
"animal27",20,0.25,2,978
"animal27",20,0.25,3,347
"animal27",20,0.25,4,273
"animal27",20,0.25,5,160
"animal27",20,0.25,6,151
"animal27",20,0.25,7,69
"animal27",20,0.25,8,29
"animal28",20,0.25,0,5584
"animal28",20,0.25,1,3182
"animal28",20,0.25,2,2684
"animal28",20,0.25,3,1905
"animal28",20,0.25,4,1838
"animal28",20,0.25,5,1627
"animal28",20,0.25,6,1234
"animal28",20,0.25,7,772
"animal28",20,0.25,8,423
"animal28",20,0.25,9,28
"animal25",20,0.5,0,2382
"animal25",20,0.5,1,1786
"animal25",20,0.5,2,700
"animal25",20,0.5,3,631
"animal25",20,0.5,4,630
"animal25",20,0.5,5,572
"animal25",20,0.5,6,319
"animal25",20,0.5,7,316
"animal25",20,0.5,8,264
"animal25",20,0.5,9,258
"animal25",20,0.5,10,213
"animal25",20,0.5,11,141
"animal25",20,0.5,12,111
"animal25",20,0.5,13,69
"animal25",20,0.5,14,60
"animal25",20,0.5,15,42
"animal25",20,0.5,16,23
"animal26",20,0.5,0,897
"animal26",20,0.5,1,609
"animal26",20,0.5,2,523
"animal26",20,0.5,3,510
"animal26",20,0.5,4,447
"animal26",20,0.5,5,393
"animal26",20,0.5,6,234
"animal26",20,0.5,7,205
"animal26",20,0.5,8,191
"animal26",20,0.5,9,146
"animal26",20,0.5,10,68
"animal26",20,0.5,11,12
"animal27",20,0.5,0,2102
"animal27",20,0.5,1,1543
"animal27",20,0.5,2,822
"animal27",20,0.5,3,416
"animal27",20,0.5,4,279
"animal27",20,0.5,5,166
"animal27",20,0.5,6,162
"animal27",20,0.5,7,151
"animal27",20,0.5,8,148
"animal27",20,0.5,9,69
"animal27",20,0.5,10,29
"animal28",20,0.5,0,3180
"animal28",20,0.5,1,3151
"animal28",20,0.5,2,2682
"animal28",20,0.5,3,2460
"animal28",20,0.5,4,1839
"animal28",20,0.5,5,1575
"animal28",20,0.5,6,1199
"animal28",20,0.5,7,1175
"animal28",20,0.5,8,760
"animal28",20,0.5,9,466
"animal28",20,0.5,10,421
"animal28",20,0.5,11,312
"animal28",20,0.5,12,57
"animal25",20,0.75,0,1744
"animal25",20,0.75,1,1565
"animal25",20,0.75,2,871
"animal25",20,0.75,3,669
"animal25",20,0.75,4,635
"animal25",20,0.75,5,634
"animal25",20,0.75,6,569
"animal25",20,0.75,7,319
"animal25",20,0.75,8,318
"animal25",20,0.75,9,262
"animal25",20,0.75,10,258
"animal25",20,0.75,11,213
"animal25",20,0.75,12,145
"animal25",20,0.75,13,140
"animal25",20,0.75,14,61
"animal25",20,0.75,15,49
"animal25",20,0.75,16,42
"animal25",20,0.75,17,23
"animal26",20,0.75,0,856
"animal26",20,0.75,1,609
"animal26",20,0.75,2,523
"animal26",20,0.75,3,510
"animal26",20,0.75,4,447
"animal26",20,0.75,5,392
"animal26",20,0.75,6,235
"animal26",20,0.75,7,205
"animal26",20,0.75,8,191
"animal26",20,0.75,9,146
"animal26",20,0.75,10,68
"animal26",20,0.75,11,41
"animal26",20,0.75,12,12
"animal27",20,0.75,0,1452
"animal27",20,0.75,1,1290
"animal27",20,0.75,2,916
"animal27",20,0.75,3,550
"animal27",20,0.75,4,354
"animal27",20,0.75,5,334
"animal27",20,0.75,6,275
"animal27",20,0.75,7,166
"animal27",20,0.75,8,154
"animal27",20,0.75,9,151
"animal27",20,0.75,10,112
"animal27",20,0.75,11,69
"animal27",20,0.75,12,35
"animal27",20,0.75,13,29
"animal28",20,0.75,0,2379
"animal28",20,0.75,1,2225
"animal28",20,0.75,2,1831
"animal28",20,0.75,3,1769
"animal28",20,0.75,4,1743
"animal28",20,0.75,5,1554
"animal28",20,0.75,6,1410
"animal28",20,0.75,7,1215
"animal28",20,0.75,8,1207
"animal28",20,0.75,9,939
"animal28",20,0.75,10,852
"animal28",20,0.75,11,764
"animal28",20,0.75,12,536
"animal28",20,0.75,13,461
"animal28",20,0.75,14,335
"animal28",20,0.75,15,57
"animal25",25,0.25,0,4306
"animal25",25,0.25,1,890
"animal25",25,0.25,2,712
"animal25",25,0.25,3,643
"animal25",25,0.25,4,623
"animal25",25,0.25,5,578
"animal25",25,0.25,6,265
"animal25",25,0.25,7,212
"animal25",25,0.25,8,112
"animal25",25,0.25,9,64
"animal25",25,0.25,10,46
"animal25",25,0.25,11,43
"animal25",25,0.25,12,23
"animal26",25,0.25,0,904
"animal26",25,0.25,1,635
"animal26",25,0.25,2,586
"animal26",25,0.25,3,521
"animal26",25,0.25,4,481
"animal26",25,0.25,5,447
"animal26",25,0.25,6,392
"animal26",25,0.25,7,192
"animal26",25,0.25,8,77
"animal27",25,0.25,0,2324
"animal27",25,0.25,1,1543
"animal27",25,0.25,2,977
"animal27",25,0.25,3,381
"animal27",25,0.25,4,275
"animal27",25,0.25,5,151
"animal27",25,0.25,6,140
"animal27",25,0.25,7,67
"animal27",25,0.25,8,29
"animal28",25,0.25,0,5658
"animal28",25,0.25,1,3177
"animal28",25,0.25,2,2626
"animal28",25,0.25,3,1964
"animal28",25,0.25,4,1842
"animal28",25,0.25,5,1550
"animal28",25,0.25,6,1226
"animal28",25,0.25,7,678
"animal28",25,0.25,8,528
"animal28",25,0.25,9,28
"animal25",25,0.5,0,2177
"animal25",25,0.5,1,2133
"animal25",25,0.5,2,692
"animal25",25,0.5,3,644
"animal25",25,0.5,4,622
"animal25",25,0.5,5,569
"animal25",25,0.5,6,317
"animal25",25,0.5,7,312
"animal25",25,0.5,8,266
"animal25",25,0.5,9,264
"animal25",25,0.5,10,212
"animal25",25,0.5,11,115
"animal25",25,0.5,12,64
"animal25",25,0.5,13,46
"animal25",25,0.5,14,43
"animal25",25,0.5,15,23
"animal25",25,0.5,16,18
"animal26",25,0.5,0,903
"animal26",25,0.5,1,616
"animal26",25,0.5,2,586
"animal26",25,0.5,3,522
"animal26",25,0.5,4,500
"animal26",25,0.5,5,392
"animal26",25,0.5,6,246
"animal26",25,0.5,7,200
"animal26",25,0.5,8,192
"animal26",25,0.5,9,78
"animal27",25,0.5,0,2111
"animal27",25,0.5,1,1505
"animal27",25,0.5,2,573
"animal27",25,0.5,3,451
"animal27",25,0.5,4,421
"animal27",25,0.5,5,279
"animal27",25,0.5,6,170
"animal27",25,0.5,7,151
"animal27",25,0.5,8,130
"animal27",25,0.5,9,67
"animal27",25,0.5,10,29
"animal28",25,0.5,0,3185
"animal28",25,0.5,1,2834
"animal28",25,0.5,2,2690
"animal28",25,0.5,3,2668
"animal28",25,0.5,4,1839
"animal28",25,0.5,5,1542
"animal28",25,0.5,6,1204
"animal28",25,0.5,7,1197
"animal28",25,0.5,8,750
"animal28",25,0.5,9,530
"animal28",25,0.5,10,465
"animal28",25,0.5,11,307
"animal28",25,0.5,12,66
"animal25",25,0.75,0,2120
"animal25",25,0.75,1,1917
"animal25",25,0.75,2,696
"animal25",25,0.75,3,623
"animal25",25,0.75,4,603
"animal25",25,0.75,5,473
"animal25",25,0.75,6,322
"animal25",25,0.75,7,313
"animal25",25,0.75,8,268
"animal25",25,0.75,9,264
"animal25",25,0.75,10,212
"animal25",25,0.75,11,193
"animal25",25,0.75,12,134
"animal25",25,0.75,13,126
"animal25",25,0.75,14,64
"animal25",25,0.75,15,58
"animal25",25,0.75,16,47
"animal25",25,0.75,17,43
"animal25",25,0.75,18,23
"animal25",25,0.75,19,18
"animal26",25,0.75,0,904
"animal26",25,0.75,1,520
"animal26",25,0.75,2,495
"animal26",25,0.75,3,483
"animal26",25,0.75,4,403
"animal26",25,0.75,5,392
"animal26",25,0.75,6,246
"animal26",25,0.75,7,200
"animal26",25,0.75,8,192
"animal26",25,0.75,9,183
"animal26",25,0.75,10,139
"animal26",25,0.75,11,78
"animal27",25,0.75,0,1803
"animal27",25,0.75,1,1165
"animal27",25,0.75,2,579
"animal27",25,0.75,3,346
"animal27",25,0.75,4,323
"animal27",25,0.75,5,297
"animal27",25,0.75,6,292
"animal27",25,0.75,7,281
"animal27",25,0.75,8,174
"animal27",25,0.75,9,169
"animal27",25,0.75,10,151
"animal27",25,0.75,11,109
"animal27",25,0.75,12,101
"animal27",25,0.75,13,68
"animal27",25,0.75,14,29
"animal28",25,0.75,0,2605
"animal28",25,0.75,1,2348
"animal28",25,0.75,2,2294
"animal28",25,0.75,3,1833
"animal28",25,0.75,4,1811
"animal28",25,0.75,5,1365
"animal28",25,0.75,6,1240
"animal28",25,0.75,7,1215
"animal28",25,0.75,8,1210
"animal28",25,0.75,9,1194
"animal28",25,0.75,10,771
"animal28",25,0.75,11,539
"animal28",25,0.75,12,464
"animal28",25,0.75,13,321
"animal28",25,0.75,14,67
"animal25",30,0.25,0,4327
"animal25",30,0.25,1,895
"animal25",30,0.25,2,693
"animal25",30,0.25,3,637
"animal25",30,0.25,4,629
"animal25",30,0.25,5,594
"animal25",30,0.25,6,267
"animal25",30,0.25,7,210
"animal25",30,0.25,8,100
"animal25",30,0.25,9,59
"animal25",30,0.25,10,43
"animal25",30,0.25,11,24
"animal25",30,0.25,12,20
"animal25",30,0.25,13,19
"animal26",30,0.25,0,916
"animal26",30,0.25,1,625
"animal26",30,0.25,2,582
"animal26",30,0.25,3,523
"animal26",30,0.25,4,480
"animal26",30,0.25,5,446
"animal26",30,0.25,6,391
"animal26",30,0.25,7,194
"animal26",30,0.25,8,78
"animal27",30,0.25,0,2241
"animal27",30,0.25,1,1631
"animal27",30,0.25,2,996
"animal27",30,0.25,3,390
"animal27",30,0.25,4,261
"animal27",30,0.25,5,152
"animal27",30,0.25,6,121
"animal27",30,0.25,7,66
"animal27",30,0.25,8,29
"animal28",30,0.25,0,5491
"animal28",30,0.25,1,3223
"animal28",30,0.25,2,2688
"animal28",30,0.25,3,1832
"animal28",30,0.25,4,1551
"animal28",30,0.25,5,1230
"animal28",30,0.25,6,1177
"animal28",30,0.25,7,772
"animal28",30,0.25,8,755
"animal28",30,0.25,9,528
"animal28",30,0.25,10,30
"animal25",30,0.5,0,2261
"animal25",30,0.5,1,2050
"animal25",30,0.5,2,693
"animal25",30,0.5,3,640
"animal25",30,0.5,4,626
"animal25",30,0.5,5,499
"animal25",30,0.5,6,335
"animal25",30,0.5,7,328
"animal25",30,0.5,8,267
"animal25",30,0.5,9,264
"animal25",30,0.5,10,211
"animal25",30,0.5,11,118
"animal25",30,0.5,12,59
"animal25",30,0.5,13,57
"animal25",30,0.5,14,46
