"Dims","Resolution","VarianceExplained","SilhouetteScore","NumberOfClusters"
"dims10",0.3,0.67033778942013,0.157292368843856,13
"dims10",0.5,0.67033778942013,0.165309852334453,14
"dims10",0.8,0.67033778942013,0.184947535864267,19
"dims10",1,0.67033778942013,0.150785076586927,21
"dims15",0.3,0.745051613458694,0.346317397562076,12
"dims15",0.5,0.745051613458694,0.342287536696811,15
"dims15",0.8,0.745051613458694,0.323943501240039,17
"dims15",1,0.745051613458694,0.313114652649999,19
"dims20",0.3,0.800996041917745,0.386671686130328,13
"dims20",0.5,0.800996041917745,0.309017352372137,16
"dims20",0.8,0.800996041917745,0.319730506511175,19
"dims20",1,0.800996041917745,0.31092267980625,23
"dims25",0.3,0.84668163807809,0.384967619311879,15
"dims25",0.5,0.84668163807809,0.318204963575632,18
"dims25",0.8,0.84668163807809,0.306867767721917,19
"dims25",1,0.84668163807809,0.298773074517895,21
