"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","animal","method","dims","resolution"
0,0.498396352620943,0.97,0.86,0,0,"RPL24","merged","SCT",15,0.25
0,0.465030903624009,0.995,0.953,0,0,"EEF1A1","merged","SCT",15,0.25
0,0.463915350721928,0.999,0.961,0,0,"TMSB10","merged","SCT",15,0.25
0,0.424235047348259,0.982,0.894,0,0,"RPL28","merged","SCT",15,0.25
0,0.397786415847644,0.999,0.959,0,0,"RPS19","merged","SCT",15,0.25
0,0.327054899000085,0.999,0.967,0,0,"RPL10","merged","SCT",15,0.25
0,0.26193919345552,1,0.982,0,0,"TMSB4X","merged","SCT",15,0.25
1.46053561841166e-306,2.29543012885541,0.117,0.024,2.52292922724431e-302,0,"PYCARD","merged","SCT",15,0.25
4.47167946853033e-305,1.48625778986713,0.204,0.073,7.72437911393929e-301,0,"CXXC5","merged","SCT",15,0.25
1.53337908926323e-304,1.52933027006739,0.187,0.063,2.64875903879331e-300,0,"CD244","merged","SCT",15,0.25
1.04679682893277e-301,1.227914491656,0.222,0.085,1.80823684229847e-297,0,"GCNT1","merged","SCT",15,0.25
2.69141636838228e-301,1.67129349027568,0.158,0.046,4.64915263474356e-297,0,"ENSBTAG00000048353","merged","SCT",15,0.25
5.26494277033687e-300,1.87957653381001,0.147,0.041,9.09466214147992e-296,0,"PRAM1","merged","SCT",15,0.25
2.14547593359318e-299,0.465852674063939,0.85,0.718,3.70609512768886e-295,0,"ENSBTAG00000005315","merged","SCT",15,0.25
4.86794581844725e-299,1.17834855010222,0.276,0.125,8.40888960678578e-295,0,"CMC1","merged","SCT",15,0.25
2.47411632057947e-286,1.96133863362089,0.132,0.034,4.27378853216897e-282,0,"ASS1","merged","SCT",15,0.25
3.69273654912914e-285,2.34480376183417,0.108,0.022,6.37883311496568e-281,0,"RAB38","merged","SCT",15,0.25
2.08769950936572e-282,1.4767470630791,0.178,0.061,3.60629213247834e-278,0,"ATP6V0A4","merged","SCT",15,0.25
4.44084742351031e-279,1.29638520438744,0.202,0.076,7.67111983937171e-275,0,"TSPAN2","merged","SCT",15,0.25
3.3770496285097e-275,0.548135076287663,0.69,0.531,5.83351552828766e-271,0,"CORO1A","merged","SCT",15,0.25
3.13421794989574e-274,0.635950372912565,0.615,0.442,5.4140480866499e-270,0,"PSME1","merged","SCT",15,0.25
1.27831694954404e-272,0.953284965179348,0.359,0.198,2.20816469864237e-268,0,"UNC119","merged","SCT",15,0.25
3.12790230947555e-272,2.05786008390914,0.125,0.032,5.40313844938807e-268,0,"BOLA-DRA","merged","SCT",15,0.25
1.12878081623849e-270,0.628341811212124,0.641,0.479,1.94985598197037e-266,0,"GIMAP7.2","merged","SCT",15,0.25
2.15834658747657e-263,1.95633330077573,0.121,0.031,3.72832789520702e-259,0,"RHOQ","merged","SCT",15,0.25
7.73750249998873e-261,0.600088804457491,0.643,0.48,1.33657618184805e-256,0,"SSR2","merged","SCT",15,0.25
2.06936370635706e-260,0.926705392782833,0.286,0.137,3.57461886636118e-256,0,"YWHAQ","merged","SCT",15,0.25
2.44590386939848e-259,0.289530401658751,0.993,0.937,4.22505434399894e-255,0,"RPS9","merged","SCT",15,0.25
3.06044692286599e-259,0.27641845940059,0.997,0.953,5.28661601455871e-255,0,"RPLP0","merged","SCT",15,0.25
7.80328584960661e-256,0.715671606593852,0.501,0.331,1.34793959766105e-251,0,"CTSD","merged","SCT",15,0.25
1.75638100629849e-251,0.496362374514242,0.749,0.606,3.03397255028e-247,0,"ATP5MC2","merged","SCT",15,0.25
3.55643134788048e-251,1.11277839592896,0.204,0.082,6.14337951032873e-247,0,"CLNK","merged","SCT",15,0.25
1.97879813829403e-250,0.502785500811676,0.699,0.536,3.41817590408911e-246,0,"LAPTM5","merged","SCT",15,0.25
7.60742773230277e-250,1.31069428104768,0.206,0.085,1.31410706647798e-245,0,"ENSBTAG00000001143","merged","SCT",15,0.25
8.69668327733106e-248,0.969203961404706,0.324,0.175,1.50226506932617e-243,0,"VAMP5","merged","SCT",15,0.25
7.12309042380531e-247,0.762274163128837,0.444,0.28,1.23044263980813e-242,0,"RAP1B","merged","SCT",15,0.25
2.80073105225904e-245,1.85416921867842,0.123,0.034,4.83798281967227e-241,0,"CCR8","merged","SCT",15,0.25
1.04869122558254e-240,1.89043118521587,0.117,0.031,1.81150922307128e-236,0,"PTPRF","merged","SCT",15,0.25
1.60857677183464e-240,1.54412952477464,0.156,0.054,2.77865551566717e-236,0,"ZNF296","merged","SCT",15,0.25
7.98233383802324e-238,1.79737500274116,0.122,0.034,1.37886834718013e-233,0,"GCSAM","merged","SCT",15,0.25
6.48110939534158e-231,0.255689778370268,0.999,0.966,1.1195468369513e-226,0,"RPL37","merged","SCT",15,0.25
4.55808607859897e-230,0.853881391443476,0.378,0.226,7.87363789217185e-226,0,"IRF1","merged","SCT",15,0.25
5.05854626126601e-228,1.78708224773333,0.12,0.035,8.7381328117109e-224,0,"HSF2BP","merged","SCT",15,0.25
5.82678200273728e-226,1.91353709795269,0.107,0.028,1.00651832315284e-221,0,"SPATS2L","merged","SCT",15,0.25
7.59086136762535e-225,0.454418569557615,0.76,0.633,1.3112453926436e-220,0,"BTF3","merged","SCT",15,0.25
5.63440426762835e-224,0.7462034817515,0.365,0.21,9.73286993190121e-220,0,"AHNAK","merged","SCT",15,0.25
2.6782118857893e-218,0.983673076553855,0.262,0.132,4.62634321151243e-214,0,"NUCB2","merged","SCT",15,0.25
