"dims","resolution","total_DEGs"
10,0.25,17336350
10,0.5,10626087
10,0.75,9783960
15,0.25,16956569
15,0.5,12547725
15,0.75,10642591
20,0.25,16303952
20,0.5,12108744
20,0.75,10326629
25,0.25,15118076
25,0.5,11990841
25,0.75,9921342
30,0.25,14141257
30,0.5,11758858
30,0.75,10375613
