"cluster","animal","n_DEGs","dims","resolution"
"C5","animal27",52788,"10","0.75"
"C5","animal28",416079,"10","0.75"
"C6","animal25",284084,"10","0.75"
"C6","animal26",25596,"10","0.75"
"C6","animal27",295144,"10","0.75"
"C6","animal28",268916,"10","0.75"
"C7","animal25",73780,"10","0.75"
"C7","animal26",15872,"10","0.75"
"C7","animal27",16988,"10","0.75"
"C7","animal28",199392,"10","0.75"
"C8","animal25",198912,"10","0.75"
"C8","animal26",39072,"10","0.75"
"C8","animal27",103896,"10","0.75"
"C8","animal28",244200,"10","0.75"
"C9","animal25",95139,"10","0.75"
"C9","animal26",35712,"10","0.75"
"C9","animal27",152055,"10","0.75"
"C9","animal28",136710,"10","0.75"
"C0","animal25",2118420,"15","0.25"
"C0","animal26",469800,"15","0.25"
"C0","animal27",1644300,"15","0.25"
"C0","animal28",2927880,"15","0.25"
"C1","animal25",242879,"15","0.25"
"C1","animal26",106964,"15","0.25"
"C1","animal27",190944,"15","0.25"
"C1","animal28",850187,"15","0.25"
"C10","animal25",3266,"15","0.25"
"C10","animal26",426,"15","0.25"
"C10","animal27",20164,"15","0.25"
"C10","animal28",2130,"15","0.25"
"C2","animal25",40875,"15","0.25"
"C2","animal26",68500,"15","0.25"
"C2","animal27",56500,"15","0.25"
"C2","animal28",317500,"15","0.25"
"C3","animal25",1208556,"15","0.25"
"C3","animal26",981525,"15","0.25"
"C3","animal27",409680,"15","0.25"
"C3","animal28",3388395,"15","0.25"
"C4","animal25",128933,"15","0.25"
"C4","animal26",93725,"15","0.25"
"C4","animal27",30644,"15","0.25"
"C4","animal28",295845,"15","0.25"
"C5","animal25",68172,"15","0.25"
"C5","animal26",152076,"15","0.25"
"C5","animal27",51300,"15","0.25"
"C5","animal28",416556,"15","0.25"
"C6","animal25",72448,"15","0.25"
"C6","animal26",11648,"15","0.25"
"C6","animal27",16640,"15","0.25"
"C6","animal28",194944,"15","0.25"
"C7","animal25",87016,"15","0.25"
"C7","animal26",53342,"15","0.25"
"C7","animal27",38591,"15","0.25"
"C7","animal28",13708,"15","0.25"
"C8","animal25",30654,"15","0.25"
"C8","animal26",12838,"15","0.25"
"C8","animal27",73884,"15","0.25"
"C8","animal28",33536,"15","0.25"
"C9","animal25",10480,"15","0.25"
"C9","animal26",1965,"15","0.25"
"C9","animal27",7860,"15","0.25"
"C9","animal28",10873,"15","0.25"
"C0","animal25",845835,"15","0.5"
"C0","animal26",186180,"15","0.5"
"C0","animal27",535428,"15","0.5"
