"cluster","animal","n_DEGs","dims","resolution"
"C8","animal25",57200,"25","0.75"
"C8","animal26",12480,"25","0.75"
"C8","animal27",56784,"25","0.75"
"C8","animal28",68328,"25","0.75"
"C9","animal25",46400,"25","0.75"
"C9","animal26",25000,"25","0.75"
"C9","animal27",9100,"25","0.75"
"C9","animal28",103600,"25","0.75"
"C0","animal25",1201618,"30","0.25"
"C0","animal26",212300,"30","0.25"
"C0","animal27",747296,"30","0.25"
"C0","animal28",1716542,"30","0.25"
"C1","animal25",53400,"30","0.25"
"C1","animal26",58440,"30","0.25"
"C1","animal27",25080,"30","0.25"
"C1","animal28",457200,"30","0.25"
"C10","animal25",31356,"30","0.25"
"C10","animal26",13668,"30","0.25"
"C10","animal27",77184,"30","0.25"
"C10","animal28",38592,"30","0.25"
"C11","animal25",14539,"30","0.25"
"C11","animal26",12663,"30","0.25"
"C11","animal27",3953,"30","0.25"
"C11","animal28",7169,"30","0.25"
"C12","animal25",9940,"30","0.25"
"C12","animal26",1960,"30","0.25"
"C12","animal27",8120,"30","0.25"
"C12","animal28",7280,"30","0.25"
"C13","animal25",3289,"30","0.25"
"C13","animal26",286,"30","0.25"
"C13","animal27",20306,"30","0.25"
"C13","animal28",2145,"30","0.25"
"C2","animal25",172040,"30","0.25"
"C2","animal26",58650,"30","0.25"
"C2","animal27",34000,"30","0.25"
"C2","animal28",430610,"30","0.25"
"C3","animal25",47916,"30","0.25"
"C3","animal26",73260,"30","0.25"
"C3","animal27",60456,"30","0.25"
"C3","animal28",342144,"30","0.25"
"C4","animal25",1210944,"30","0.25"
"C4","animal26",963328,"30","0.25"
"C4","animal27",400256,"30","0.25"
"C4","animal28",3317376,"30","0.25"
"C5","animal25",66511,"30","0.25"
"C5","animal26",147323,"30","0.25"
"C5","animal27",50848,"30","0.25"
"C5","animal28",413140,"30","0.25"
"C6","animal25",263055,"30","0.25"
"C6","animal26",48450,"30","0.25"
"C6","animal27",226290,"30","0.25"
"C6","animal28",259635,"30","0.25"
"C7","animal25",124300,"30","0.25"
"C7","animal26",59950,"30","0.25"
"C7","animal27",211750,"30","0.25"
"C7","animal28",169125,"30","0.25"
"C8","animal25",83220,"30","0.25"
"C8","animal26",52122,"30","0.25"
"C8","animal27",37230,"30","0.25"
"C8","animal28",12702,"30","0.25"
"C9","animal25",22440,"30","0.25"
"C9","animal26",8800,"30","0.25"
"C9","animal27",28380,"30","0.25"
"C9","animal28",20680,"30","0.25"
"C0","animal25",788800,"30","0.5"
"C0","animal26",143360,"30","0.5"
"C0","animal27",476800,"30","0.5"
"C0","animal28",1080000,"30","0.5"
"C1","animal25",50827,"30","0.5"
"C1","animal26",76583,"30","0.5"
"C1","animal27",64253,"30","0.5"
"C1","animal28",357844,"30","0.5"
"C10","animal25",83220,"30","0.5"
"C10","animal26",52122,"30","0.5"
"C10","animal27",37376,"30","0.5"
"C10","animal28",12702,"30","0.5"
"C11","animal25",11400,"30","0.5"
"C11","animal26",15600,"30","0.5"
"C11","animal27",3000,"30","0.5"
"C11","animal28",74200,"30","0.5"
"C12","animal25",33456,"30","0.5"
"C12","animal26",13940,"30","0.5"
"C12","animal27",35260,"30","0.5"
"C12","animal28",72160,"30","0.5"
"C13","animal25",22866,"30","0.5"
"C13","animal26",8769,"30","0.5"
"C13","animal27",28860,"30","0.5"
"C13","animal28",20979,"30","0.5"
"C14","animal25",14539,"30","0.5"
"C14","animal26",12663,"30","0.5"
"C14","animal27",3886,"30","0.5"
"C14","animal28",7169,"30","0.5"
"C15","animal25",16416,"30","0.5"
"C15","animal26",5928,"30","0.5"
"C15","animal27",52668,"30","0.5"
"C15","animal28",18696,"30","0.5"
"C16","animal25",10152,"30","0.5"
"C16","animal26",1974,"30","0.5"
"C16","animal27",8178,"30","0.5"
"C16","animal28",7332,"30","0.5"
"C17","animal25",3289,"30","0.5"
"C17","animal26",286,"30","0.5"
"C17","animal27",20306,"30","0.5"
"C17","animal28",2145,"30","0.5"
"C2","animal25",32844,"30","0.5"
"C2","animal26",32334,"30","0.5"
"C2","animal27",17544,"30","0.5"
"C2","animal28",299574,"30","0.5"
"C3","animal25",283920,"30","0.5"
"C3","animal26",53760,"30","0.5"
"C3","animal27",243600,"30","0.5"
"C3","animal28",328160,"30","0.5"
"C4","animal25",66804,"30","0.5"
"C4","animal26",147972,"30","0.5"
"C4","animal27",50844,"30","0.5"
"C4","animal28",415188,"30","0.5"
"C5","animal25",474980,"30","0.5"
"C5","animal26",419100,"30","0.5"
"C5","animal27",116840,"30","0.5"
"C5","animal28",1854200,"30","0.5"
"C6","animal25",65093,"30","0.5"
"C6","animal26",9877,"30","0.5"
"C6","animal27",12971,"30","0.5"
"C6","animal28",180285,"30","0.5"
"C7","animal25",133280,"30","0.5"
"C7","animal26",58752,"30","0.5"
"C7","animal27",220864,"30","0.5"
"C7","animal28",195296,"30","0.5"
"C8","animal25",667726,"30","0.5"
"C8","animal26",259618,"30","0.5"
"C8","animal27",296022,"30","0.5"
"C8","animal28",878486,"30","0.5"
"C9","animal25",48464,"30","0.5"
"C9","animal26",27248,"30","0.5"
"C9","animal27",9464,"30","0.5"
"C9","animal28",107744,"30","0.5"
"C0","animal25",375402,"30","0.75"
"C0","animal26",64602,"30","0.75"
"C0","animal27",201798,"30","0.75"
"C0","animal28",451992,"30","0.75"
"C1","animal25",51000,"30","0.75"
"C1","animal26",75888,"30","0.75"
"C1","animal27",63920,"30","0.75"
"C1","animal28",355368,"30","0.75"
"C10","animal25",83220,"30","0.75"
"C10","animal26",52122,"30","0.75"
"C10","animal27",37376,"30","0.75"
"C10","animal28",12702,"30","0.75"
"C11","animal25",327684,"30","0.75"
"C11","animal26",219114,"30","0.75"
"C11","animal27",138180,"30","0.75"
"C11","animal28",465864,"30","0.75"
"C12","animal25",11500,"30","0.75"
"C12","animal26",15600,"30","0.75"
"C12","animal27",3000,"30","0.75"
"C12","animal28",74400,"30","0.75"
"C13","animal25",32085,"30","0.75"
"C13","animal26",12400,"30","0.75"
"C13","animal27",30845,"30","0.75"
"C13","animal28",66030,"30","0.75"
"C14","animal25",22260,"30","0.75"
"C14","animal26",9010,"30","0.75"
"C14","animal27",28090,"30","0.75"
"C14","animal28",20564,"30","0.75"
"C15","animal25",21632,"30","0.75"
"C15","animal26",5200,"30","0.75"
"C15","animal27",18096,"30","0.75"
"C15","animal28",21840,"30","0.75"
"C16","animal25",14539,"30","0.75"
"C16","animal26",12663,"30","0.75"
"C16","animal27",3953,"30","0.75"
"C16","animal28",7169,"30","0.75"
"C17","animal25",16416,"30","0.75"
"C17","animal26",5928,"30","0.75"
"C17","animal27",52668,"30","0.75"
"C17","animal28",18696,"30","0.75"
"C18","animal25",10152,"30","0.75"
"C18","animal26",1974,"30","0.75"
"C18","animal27",8178,"30","0.75"
"C18","animal28",7332,"30","0.75"
"C19","animal25",3289,"30","0.75"
"C19","animal26",286,"30","0.75"
"C19","animal27",20306,"30","0.75"
"C19","animal28",2145,"30","0.75"
"C2","animal25",32844,"30","0.75"
"C2","animal26",32334,"30","0.75"
"C2","animal27",17442,"30","0.75"
"C2","animal28",299778,"30","0.75"
"C3","animal25",306348,"30","0.75"
"C3","animal26",57036,"30","0.75"
"C3","animal27",258720,"30","0.75"
"C3","animal28",354270,"30","0.75"
"C4","animal25",163305,"30","0.75"
"C4","animal26",23875,"30","0.75"
"C4","animal27",103522,"30","0.75"
"C4","animal28",280770,"30","0.75"
"C5","animal25",65925,"30","0.75"
"C5","animal26",145575,"30","0.75"
"C5","animal27",49725,"30","0.75"
"C5","animal28",408600,"30","0.75"
"C6","animal25",153846,"30","0.75"
"C6","animal26",67716,"30","0.75"
"C6","animal27",250965,"30","0.75"
"C6","animal28",226314,"30","0.75"
"C7","animal25",505177,"30","0.75"
"C7","animal26",460331,"30","0.75"
"C7","animal27",126624,"30","0.75"
"C7","animal28",1969267,"30","0.75"
"C8","animal25",64310,"30","0.75"
"C8","animal26",9794,"30","0.75"
"C8","animal27",12744,"30","0.75"
"C8","animal28",178888,"30","0.75"
"C9","animal25",49035,"30","0.75"
"C9","animal26",27510,"30","0.75"
"C9","animal27",9555,"30","0.75"
"C9","animal28",108990,"30","0.75"
