"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.09393331325014e-164,0.942364596788275,0.281,0.121,1.88966040530829e-160,"3","ENSBTAG00000001219"
3.92415693133146e-115,0.936865348651432,0.313,0.166,6.77858868318196e-111,"3","LGALS3"
1.28753839860956e-84,0.901882494270467,0.261,0.143,2.22409382975815e-80,"3","IFITM3.1"
1.82487742819169e-188,0.888418083497605,0.495,0.273,3.15229326945833e-184,"3","ENSBTAG00000047919"
1.72761713898194e-79,0.828819956763567,0.286,0.165,2.98428584587741e-75,"3","NUCB2"
1.22215450415379e-102,0.805083679525655,0.351,0.203,2.11114969047526e-98,"3","FTL"
8.19946719816386e-92,0.766120445430596,0.293,0.16,1.41637596381083e-87,"3","ENSBTAG00000064514"
0,3.72450223325019,0.261,0.035,0,"4","CERS6"
0,3.69235200970033,0.358,0.054,0,"4","PRKCE"
0,3.63853059619138,0.58,0.15,0,"4","KCNQ5"
0,3.48061329496242,0.272,0.038,0,"4","BCL11B"
0,3.36514654623223,0.413,0.096,0,"4","INPP4B"
0,3.26232856874546,0.624,0.206,0,"4","FOXP1"
0,3.2480206304836,0.35,0.071,0,"4","MAML3"
0,3.14752767813991,0.534,0.164,0,"4","LEF1"
0,3.14370506205703,0.453,0.103,0,"4","CAMK4"
0,3.14315414042217,0.71,0.228,0,"4","AFF3"
0,3.14111609490863,0.475,0.119,0,"4","FHIT"
0,3.09414045805718,0.331,0.068,0,"4","TRPS1"
0,3.07105827570335,0.39,0.087,0,"4","MAML2"
0,3.03404415761137,0.286,0.067,0,"4","WWOX"
0,3.03069341941289,0.71,0.213,0,"4","KLF12"
0,3.00967446712899,0.304,0.057,0,"4","FOXO1"
0,2.94230486827736,0.601,0.193,0,"4","BACH2"
0,2.89703738761797,0.42,0.089,0,"4","ARID1B"
0,2.88682896282243,0.848,0.37,0,"4","ARHGAP15"
0,2.86388231007641,0.304,0.063,0,"4","ARL15"
0,7.05412202865391,0.365,0.003,0,"5","ENSBTAG00000035945"
0,6.87790568058195,0.528,0.008,0,"5","TARP"
0,5.93670029523701,0.258,0.01,0,"5","ENSBTAG00000069664"
0,5.82277330366243,0.36,0.011,0,"5","ENSBTAG00000056585"
0,5.6017537225603,0.487,0.012,0,"5","OGN"
0,5.48132673054833,0.293,0.016,0,"5","ENSBTAG00000055254"
0,5.47079130719266,0.514,0.018,0,"5","MDK"
0,5.35090698824994,0.264,0.008,0,"5","IGFBP4"
0,5.34445124399119,0.27,0.008,0,"5","FSCN1"
0,4.7857503642759,0.586,0.034,0,"5","MARCKSL1"
0,4.60644862679324,0.448,0.013,0,"5","ENSBTAG00000065476"
0,4.27459995872859,0.432,0.026,0,"5","ENSBTAG00000050713"
0,4.2243925334339,0.779,0.071,0,"5","SOX4"
0,3.74848701308207,0.399,0.039,0,"5","CD2AP"
0,3.74739991310915,0.406,0.042,0,"5","ID3"
0,3.73881665468806,0.26,0.02,0,"5","ZNRF1"
0,3.52016563982153,0.289,0.025,0,"5","LY86"
0,3.16611919430461,0.814,0.133,0,"5","STMN1"
0,2.94669835704547,0.466,0.088,0,"5","PRKAR2B"
0,2.80762092984471,0.678,0.154,0,"5","ENSBTAG00000000144"
0,5.74297536855251,0.375,0.013,0,"6","ENSBTAG00000010828"
0,3.11011156520007,0.391,0.051,0,"6","GZMM"
0,2.45450633309946,0.364,0.073,0,"6","CD8A"
2.37522437766473e-302,2.32088425850812,0.263,0.059,4.10296258997805e-298,"6","CEBPD"
0,2.027747731006,0.448,0.115,0,"6","CD8B"
0,2.02518267054255,0.576,0.121,0,"6","S100A13"
0,2.02486152679915,0.554,0.165,0,"6","YWHAQ"
1.63236900363003e-304,1.88277337790573,0.466,0.172,2.81975421687052e-300,"6","IL7R"
0,1.84289884373679,0.462,0.141,0,"6","CD3D"
1.31424407254897e-270,1.51500704245804,0.587,0.277,2.27022521092109e-266,"6","ENSBTAG00000047919"
8.68463370861607e-131,1.47420108928207,0.264,0.102,1.50018362682634e-126,"6","ADGRG1"
4.2333481518364e-304,1.44342213461542,0.552,0.218,7.3126855974822e-300,"6","CD3G"
0,1.38515164901383,0.852,0.399,0,"6","S100A11"
0,1.38242555773118,0.918,0.401,0,"6","CD3E"
0,1.35236560850016,0.704,0.276,0,"6","ENSBTAG00000047449"
6.81293361936508e-218,1.32933207057511,0.435,0.174,1.17686615340912e-213,"6","RORA"
0,1.27318437364919,0.806,0.372,0,"6","S100A4"
2.29880146399021e-254,1.26838993415302,0.612,0.296,3.97094964889669e-250,"6","PRF1"
5.18747337966125e-137,1.26665658220878,0.334,0.143,8.96084151602685e-133,"6","GLIPR2"
7.82172879156638e-132,1.25372457851633,0.379,0.182,1.35112543145518e-127,"6","ITGB1"
0,4.28746051391494,0.371,0.021,0,"7","CD4"
0,2.68282616137297,0.649,0.124,0,"7","S100A13"
0,2.43223153434363,0.485,0.104,0,"7","CD5"
0,2.21680520632288,0.83,0.407,0,"7","S100A11"
3.70659645892055e-282,2.09569847375471,0.288,0.063,6.40277472313937e-278,"7","GPR183"
1.21360438382424e-202,2.00197355027818,0.26,0.068,2.09638021261799e-198,"7","KCNA3"
1.41651002835996e-185,1.99602504381175,0.288,0.087,2.44687942298899e-181,"7","NFKBIA"
0,1.92023918990907,0.644,0.243,0,"7","S100A10"
4.11482221016183e-187,1.86000994636958,0.28,0.081,7.10794388583355e-183,"7","TSPAN13"
0,1.8088076577229,0.523,0.173,0,"7","IL7R"
1.14199444325178e-181,1.65431593166018,0.437,0.182,1.97268120127312e-177,"7","ITGB1"
5.73613415549342e-184,1.63503451084186,0.367,0.13,9.90859814019934e-180,"7","IFI27L2"
4.00183698741856e-287,1.60276264642917,0.673,0.315,6.91277321206683e-283,"7","ENSBTAG00000048470"
1.38169401146354e-209,1.57785018368202,0.445,0.167,2.38673823540211e-205,"7","LGALS3"
5.13103804717098e-236,1.52751017510062,0.568,0.251,8.86335512268315e-232,"7","LY6E"
4.48964817698311e-234,1.52373715818417,0.695,0.383,7.75541826092062e-230,"7","S100A4"
2.32757930278077e-128,1.43309310507031,0.35,0.146,4.02066048762351e-124,"7","TMEM156"
1.61521819221144e-183,1.3777703823322,0.573,0.282,2.79012790522605e-179,"7","ENSBTAG00000047919"
2.10598204610623e-110,1.36669748322669,0.297,0.12,3.6378733864439e-106,"7","GRINA"
2.0900988135512e-290,1.36482050226722,0.899,0.651,3.61043669052834e-286,"7","CRIP1"
0,3.97887077758414,0.47,0.084,0,"8","ENSBTAG00000068157"
0,3.14754581900706,0.766,0.246,0,"8","ENSBTAG00000051730"
0,2.61683807205165,0.799,0.25,0,"8","ENSBTAG00000070065"
1.02401624079996e-271,2.49559019372313,0.401,0.122,1.76888565435786e-267,"8","ENSBTAG00000065557"
0,2.4314230115298,0.573,0.161,0,"8","ENSBTAG00000057949"
0,2.37931319891532,0.718,0.211,0,"8","ENSBTAG00000056429"
1.16913033731901e-106,1.49582661302272,0.299,0.121,2.01955574468485e-102,"8","5-8S-rRNA"
1.93547288952377e-191,0.821265908758946,0.994,0.95,3.34333586936335e-187,"8","ENSBTAG00000060382"
1.24563835696731e-190,0.81874542563561,0.999,0.982,2.15171569782533e-186,"8","ENSBTAG00000066082"
2.18502587550189e-21,0.749284009101796,0.282,0.194,3.77441369734197e-17,"8","H1-4"
5.16610216156542e-130,0.702727837465169,0.999,0.994,8.9239248738881e-126,"8","ENSBTAG00000052369"
2.16276084481492e-72,0.653188008031415,0.779,0.647,3.73595308333329e-68,"8","ENSBTAG00000057590"
0.000252189877939903,0.623285448834574,0.368,0.349,1,"8","ENSBTAG00000055617"
1.43210884274471e-13,0.4435311407311,0.419,0.349,2.47382481495721e-09,"8","MYH9"
5.12630625616676e-103,0.389193629187734,0.999,0.974,8.85518142690246e-99,"8","RPS26"
0.000377318065336267,0.296828564531828,0.287,0.253,1,"8","UNC119"
0,7.27340326778122,0.768,0.008,0,"9","PTI"
0,6.22452708838993,0.314,0.004,0,"9","P2RY14"
0,5.23824908635648,0.554,0.017,0,"9","ENSBTAG00000053740"
0,4.91535262363567,0.452,0.019,0,"9","CD59"
0,3.81666154318849,0.395,0.027,0,"9","ATP8B4"
0,3.61572923168597,0.335,0.03,0,"9","ACOT7"
0,3.499106612467,0.899,0.124,0,"9","S100A13"
0,3.44703057314581,0.646,0.079,0,"9","TIMP1"
0,3.11840792908725,0.798,0.162,0,"9","KLRB1"
0,3.09341125045704,0.469,0.065,0,"9","MS4A8"
0,2.74445215019829,0.296,0.046,0,"9","TMIGD2"
2.16949314482553e-296,2.70411307455658,0.284,0.046,3.74758245837162e-292,"9","KCTD12"
0,2.67461485962473,0.946,0.38,0,"9","S100A4"
2.17707516448462e-292,2.61297990829025,0.332,0.064,3.76067963913072e-288,"9","SPTSSA"
1.53540783413725e-244,2.57103958466593,0.261,0.046,2.65226349268869e-240,"9","FXYD6"
0,2.54989343641489,0.344,0.063,0,"9","ATP1B1"
