"animal","condition","avg_expression","percent_expressed","marker","group"
"Animal28","nkp46+",0.0540490959234992,4.09152389540126,"S1PR4","chemotaxis"
"Animal28","nkp46-",0.0430356743778873,2.47276565268197,"S1PR4","chemotaxis"
"Animal52","nkp46+",0.00199090040889649,0.0776577112454975,"S1PR4","chemotaxis"
"Animal52","nkp46-",0.0096220931280943,0.683293474547318,"S1PR4","chemotaxis"
"Animal25","nkp46+",0.0392101015380937,2.3197648971425,"KLRC1","inhibiting_receptors"
"Animal25","nkp46-",0.00436256561938756,0.167814517969579,"KLRC1","inhibiting_receptors"
"Animal26","nkp46+",0.0972241079485853,5.48555623847572,"KLRC1","inhibiting_receptors"
"Animal26","nkp46-",0.0670152182518998,4.39990222439501,"KLRC1","inhibiting_receptors"
"Animal27","nkp46+",0.0522518344293334,2.40501212611156,"KLRC1","inhibiting_receptors"
"Animal27","nkp46-",0.0211302675284803,0.914648373699193,"KLRC1","inhibiting_receptors"
"Animal28","nkp46+",0.0299826058263129,2.03449053201082,"KLRC1","inhibiting_receptors"
"Animal28","nkp46-",0.0205820369862431,1.13083795092163,"KLRC1","inhibiting_receptors"
"Animal52","nkp46+",0.00429433988810361,0.166881464591388,"KLRC1","inhibiting_receptors"
"Animal52","nkp46-",0.0105483615019962,0.649128800819952,"KLRC1","inhibiting_receptors"
"Animal25","nkp46+",0.000556598033910629,0.037516413430876,"CD300A","inhibiting_receptors"
"Animal25","nkp46-",0.000451652042568985,0.0174527098688362,"CD300A","inhibiting_receptors"
"Animal26","nkp46+",0.000945509314982309,0.0576213890596189,"CD300A","inhibiting_receptors"
"Animal26","nkp46-",0.00261344377084076,0.183329259349792,"CD300A","inhibiting_receptors"
"Animal27","nkp46+",0,0,"CD300A","inhibiting_receptors"
"Animal27","nkp46-",0.000532853193596726,0.0279994400111998,"CD300A","inhibiting_receptors"
"Animal28","nkp46+",0.000530227235831709,0.0450856627592426,"CD300A","inhibiting_receptors"
"Animal28","nkp46-",0.000868080584556866,0.0527724377096762,"CD300A","inhibiting_receptors"
"Animal52","nkp46+",0,0,"CD300A","inhibiting_receptors"
"Animal52","nkp46-",0.00735534861959597,0.614964127092586,"CD300A","inhibiting_receptors"
"Animal25","nkp46+",0.00109334003151901,0.0687800912899394,"TIGIT","inhibiting_receptors"
"Animal25","nkp46-",0.00906508701363687,0.336971552082914,"TIGIT","inhibiting_receptors"
"Animal26","nkp46+",0.00196659589101265,0.126767055931162,"TIGIT","inhibiting_receptors"
"Animal26","nkp46-",0.0147853856152801,1.01442190173552,"TIGIT","inhibiting_receptors"
"Animal27","nkp46+",0.00189473083265189,0.0808407437348424,"TIGIT","inhibiting_receptors"
"Animal27","nkp46-",0.00738465267761637,0.321993560128797,"TIGIT","inhibiting_receptors"
"Animal28","nkp46+",0.00206806193846912,0.157799819657349,"TIGIT","inhibiting_receptors"
"Animal28","nkp46-",0.0120604745602369,0.704888989407818,"TIGIT","inhibiting_receptors"
"Animal52","nkp46+",0.000484338646201079,0.0181752090149037,"TIGIT","inhibiting_receptors"
"Animal52","nkp46-",0.00199547987731326,0.17082336863683,"TIGIT","inhibiting_receptors"
"Animal25","nkp46+",0.01321750453174,0.850372037766523,"KIR3DL2","inhibiting_receptors"
"Animal25","nkp46-",0.0041881842053792,0.154389356532012,"KIR3DL2","inhibiting_receptors"
"Animal26","nkp46+",0.0278014396125146,1.5980331899201,"KIR3DL2","inhibiting_receptors"
"Animal26","nkp46-",0.0264878096274721,1.73551698851137,"KIR3DL2","inhibiting_receptors"
"Animal27","nkp46+",0.0108196058089105,0.51535974130962,"KIR3DL2","inhibiting_receptors"
"Animal27","nkp46-",0.0129632846796615,0.573988520229595,"KIR3DL2","inhibiting_receptors"
"Animal28","nkp46+",0.123265688410609,8.07033363390442,"KIR3DL2","inhibiting_receptors"
"Animal28","nkp46-",0.0245135188244797,1.3871612197972,"KIR3DL2","inhibiting_receptors"
"Animal52","nkp46+",0.0137777927046905,0.532037936618089,"KIR3DL2","inhibiting_receptors"
"Animal52","nkp46-",0.0131484212595401,0.785787495729416,"KIR3DL2","inhibiting_receptors"
"Animal25","nkp46+",0,0,"KIR3DL1","inhibiting_receptors"
"Animal25","nkp46-",0,0,"KIR3DL1","inhibiting_receptors"
"Animal26","nkp46+",0,0,"KIR3DL1","inhibiting_receptors"
"Animal26","nkp46-",0,0,"KIR3DL1","inhibiting_receptors"
"Animal27","nkp46+",0,0,"KIR3DL1","inhibiting_receptors"
"Animal27","nkp46-",0,0,"KIR3DL1","inhibiting_receptors"
"Animal28","nkp46+",0,0,"KIR3DL1","inhibiting_receptors"
"Animal28","nkp46-",0,0,"KIR3DL1","inhibiting_receptors"
"Animal52","nkp46+",0.0122172184735509,0.472555434387495,"KIR3DL1","inhibiting_receptors"
"Animal52","nkp46-",0.0158625982854767,1.16159890673044,"KIR3DL1","inhibiting_receptors"
"Animal25","nkp46+",1.09197960794467,49.334083661602,"KLRB1","inhibiting_receptors"
"Animal25","nkp46-",0.155058598125301,5.57278451273377,"KLRB1","inhibiting_receptors"
"Animal26","nkp46+",1.24077045549067,49.7925629993854,"KLRB1","inhibiting_receptors"
"Animal26","nkp46-",0.124819681255274,6.35541432412613,"KLRB1","inhibiting_receptors"
"Animal27","nkp46+",0.522656693355669,20.7457558609539,"KLRB1","inhibiting_receptors"
"Animal27","nkp46-",0.116844549821372,4.48924354846236,"KLRB1","inhibiting_receptors"
"Animal28","nkp46+",1.07012771490274,55.0045085662759,"KLRB1","inhibiting_receptors"
"Animal28","nkp46-",0.0252053926788071,1.31931094274191,"KLRB1","inhibiting_receptors"
"Animal52","nkp46+",1.93112581942861,64.3418922044876,"KLRB1","inhibiting_receptors"
"Animal52","nkp46-",1.18394347447315,49.67543559959,"KLRB1","inhibiting_receptors"
"Animal25","nkp46+",0.0630365934268468,3.96423435252923,"HAVCR2","inhibiting_receptors"
"Animal25","nkp46-",0.0250384998042668,0.929021171479587,"HAVCR2","inhibiting_receptors"
"Animal26","nkp46+",0.0787379148167829,4.75952673632452,"HAVCR2","inhibiting_receptors"
"Animal26","nkp46-",0.130218052617753,8.43314593009044,"HAVCR2","inhibiting_receptors"
"Animal27","nkp46+",0.0441616549534481,2.00080840743735,"HAVCR2","inhibiting_receptors"
"Animal27","nkp46-",0.0335552813330455,1.44197116057679,"HAVCR2","inhibiting_receptors"
"Animal28","nkp46+",0.0750879312888874,5.5060865644725,"HAVCR2","inhibiting_receptors"
"Animal28","nkp46-",0.0684666462552578,3.78830713558747,"HAVCR2","inhibiting_receptors"
"Animal52","nkp46+",0.0093756282240916,0.370113347212584,"HAVCR2","inhibiting_receptors"
"Animal52","nkp46-",0.013805268481038,0.888281516911514,"HAVCR2","inhibiting_receptors"
"Animal25","nkp46+",1.59590826311248,71.7688988932658,"KLRK1","activating_receptors"
"Animal25","nkp46-",0.268171800271504,9.71176178393545,"KLRK1","activating_receptors"
"Animal26","nkp46+",1.23640863160756,56.9645052243393,"KLRK1","activating_receptors"
"Animal26","nkp46-",0.499485839023052,27.2305059887558,"KLRK1","activating_receptors"
"Animal27","nkp46+",0.399726630943177,17.3706548100243,"KLRK1","activating_receptors"
"Animal27","nkp46-",0.232691006050035,9.51047645713752,"KLRK1","activating_receptors"
"Animal28","nkp46+",0.899544162274951,52.3613615870153,"KLRK1","activating_receptors"
"Animal28","nkp46-",0.403122205295627,20.6641788231746,"KLRK1","activating_receptors"
"Animal52","nkp46+",1.11012716283102,39.2171441789762,"KLRK1","activating_receptors"
"Animal52","nkp46-",0.750270510489799,39.2210454390161,"KLRK1","activating_receptors"
"Animal25","nkp46+",0.700371326326309,39.2921903332708,"NCR1","activating_receptors"
"Animal25","nkp46-",0.0414766201246515,1.52241330702002,"NCR1","activating_receptors"
"Animal26","nkp46+",0.538214805742995,29.7287953288261,"NCR1","activating_receptors"
"Animal26","nkp46-",0.0347904843286447,2.2610608653141,"NCR1","activating_receptors"
"Animal27","nkp46+",0.403328409601415,17.5929668552951,"NCR1","activating_receptors"
"Animal27","nkp46-",0.0516591657694965,2.17462317420318,"NCR1","activating_receptors"
